Gene_model,padj,GN,Hw1.Anti,Hw1.Heat,Hw1.Anti.Heat,Hw2.Anti,Hw2.Heat,Hw2.Anti.Heat,Wt1.Anti,Wt1.Heat,Wt1.Anti.Heat,Wt2.Anti,Wt2.Heat,Wt2.Anti.Heat
SymbC1.scaffold6282.1,0.00000815,fusA,-7.350256832,-8.739826154,-19.80996586,-9.810755626,-3.186018951,-14.66712514,-8.037394874,-2.612886787,-16.86424722,-13.73317677,-3.319919762,-15.36220936
SymbC1.scaffold4630.1,0.0000101,URA7,-1.082856935,-4.296555712,-4.335012803,-1.744551277,-2.593343133,-3.637245553,0.55553564,-1.351937845,-2.150319596,-2.01413694,0.437176428,-1.707657334
SymbC1.scaffold3133.1,0.0000103,DHX38,-1.806253311,-4.35192162,-6.36141361,-2.155477707,-1.742612157,-5.071083098,-1.866248611,-1.103287808,-4.744833837,-2.62154461,1.109358252,-2.990778419
SymbC1.scaffold9506.1,0.0000104,Acly,-1.721334055,-1.108357178,-5.963474124,-1.263227834,2.838928005,-4.237039197,-2.228100615,0.708052903,-7.028569152,-9.03860035,3.590649796,-7.842203138
SymbC1.scaffold1288.3,0.0000106,FTSH10,-1.802960564,-3.719562905,-5.430515755,-2.351198807,-1.683769561,-4.141063725,-0.59254113,-1.579725852,-4.659464682,-2.041778412,0.737941042,-2.89909274
SymbC1.scaffold620.14,0.000011,secA,-0.799144897,-3.505409016,-4.869150926,-1.254148803,-1.596271392,-4.23879618,-0.228321716,-0.493981236,-2.464878413,-2.472774603,-0.072563706,-3.122293585
SymbC1.scaffold4330.1,0.0000125,rsmA,-2.321928095,0,0,-3.058893689,0.263034406,-1.736965594,-5,1.022367813,-4.415037499,-5.409390936,-0.539026217,0
SymbC1.scaffold12411.1,0.0000127,ML5,-3.492930427,-5.707947407,-8.083164343,-6.729949774,-4.17492833,-5.343407822,-2.611242121,0.551307672,-4.184931892,-13.46920984,1.162621971,-7.179284483
SymbC1.scaffold2574.4,0.0000139,dnaJ,-2.404073077,-3.405772006,-4.814238266,-3.17508745,-1.183358824,-4.587747627,-2.534739922,-0.682047642,-5.72474148,-5.151588942,-1.482845707,-6.925786412
SymbC1.scaffold4763.1,0.0000139,SUF4,-2.503718111,-3.182954528,-6.467890032,-4.257951226,-1.526666872,-4.572846214,-4.054693776,-1.745481113,-6.69515139,-4.95757675,-1.249746072,-5.108584538
SymbC1.scaffold2567.5,0.0000153,Rraga,-2.471419969,-3.900263268,-5.994981925,-3.623132167,-1.582346553,-5.298553587,-0.877099698,0.011337544,-3.688467076,-5.438774743,-1.026244099,-5.116846648
SymbC1.scaffold9358.1,0.0000157,GIP,-1.312781834,-4.513569051,-4.692590845,-2.908661393,-2.392285807,-4.160345653,-1.365649472,0.360175564,-3.043721377,-6.653687199,-0.090479517,-8.86870009
SymbC1.scaffold5345.4,0.0000172,AK812_SmicGene25788,-5.778858329,-5.600137475,-18.66919066,-7.592473074,-2.41658987,-10.73532288,-3.92721058,4.676474549,-8.737011197,-9.686182157,2.260106214,-9.787748171
SymbC1.scaffold14557.2,0.0000193,AK812_SmicGene1499,-0.672323973,-3.759556059,-2.895222154,-1.391618121,-2.438167777,-3.103035768,-0.382291119,-1.526301885,-2.75455205,-2.578908767,-0.465865254,-2.937653803
SymbC1.scaffold8222.1,0.0000222,RPA1,-3.004254251,-2.83940919,-4.674209265,-5.102278289,-1.469903675,-5.015561878,-3.064982864,-1.57673676,-6.824750496,-5.748476192,-2.263044914,-7.339710928
SymbC1.scaffold3136.2,0.0000224,impdh,-2.095803457,-2.262926403,-3.571952471,-3.612659482,-1.22851053,-3.996247865,-3.466318004,1.009718129,-2.674559937,-9.0238392,1.099332032,-3.298699041
SymbC1.scaffold7352.1,0.0000245,AIP1,-1.958844327,-3.471085099,-6.782901878,-2.692858188,-0.718149344,-5.469932478,-2.180915785,1.364794744,-4.070389328,-6.185866545,0.251094793,-2.378511623
SymbC1.scaffold5575.4,0.0000307,KHSRP,-1.474528854,-3.387118086,-4.522632701,-2.508916097,-1.51195258,-3.972000065,-1.870821093,-0.081679095,-3.540202152,-3.243332481,-0.506358328,-4.795014502
SymbC1.scaffold6845.2,0.0000312,RPS6,-1.307168846,-3.200540185,-4.085269131,-2.202577429,-1.702763505,-4.019590728,-1.221235519,-0.317127109,-3.019005762,-3.377281539,-0.456092626,-3.93053518
SymbC1.scaffold2069.5,0.000033,ODA11,-6.585533745,-8.467183285,-9.516510997,-8.999825858,-4.549468137,-8.595076136,-2.71769726,2.604629534,-5.172351739,-8.154750971,-0.276460142,-6.314427992
SymbC1.scaffold2573.1,0.0000353,DNAH9,-0.741081703,-4.364012054,-5.522441416,-1.883656216,-2.784526993,-4.292321633,-1.079461991,-0.400640439,-1.058043008,-2.894817763,-0.907007172,-2.506616449
SymbC1.scaffold6108.5,0.0000391,ppdK,-4.590428881,-9.767537568,-15.68320823,-9.134693468,-5.196311021,-8.527926956,0.178780889,1.023093763,-9.345219342,-6.376596068,-0.437745335,-12.1528174
SymbC1.scaffold4053.3,0.0000432,PFOR,-1.963644976,-5.771129907,-4.62316034,-4.186449439,-1.511761378,-8.590612637,-4.155476403,-0.495014919,-11.5348038,-12.71770966,0.748505873,-2.151770981
SymbC1.scaffold2783.6,0.0000437,Hcn4,-0.429301399,-2.271315812,-4.471322919,-0.248124923,-1.557114516,-4.136782717,-1.167693993,-0.97924144,-3.605322197,-3.131418761,-0.832010286,-3.502902681
SymbC1.scaffold2575.1,0.0000556,FNTB,-1.491853096,-4.254813899,-5.398743692,-0.684498174,0.192645078,-2.485426827,-0.251538767,0.511899039,-0.506959989,-3.847996907,-0.409323848,-5.639410285
SymbC1.scaffold5602.4,0.0000565,GBE1,0.584962501,0,-0.263034406,2.087462841,-0.263034406,1.169925001,-1.762823762,1.474000764,-1.303606814,0,-8.431845787,-5.209453366
SymbC1.scaffold5363.2,0.0000596,Top3b,-1.502981344,-6.610020572,-10.55350027,-3.275433321,-3.563788544,-8.834298071,-0.602076942,-1.347690461,-6.772542987,-4.438615263,0.97737822,-5.190287573
